state_name,base_2020,estimate_2022,pop_diff,pct_change
Texas,29145428,30029572,884144,3.034
Florida,21538226,22244823,706597,3.281
North Carolina,10439414,10698973,259559,2.486
Arizona,7151507,7359197,207690,2.904
Georgia,10711937,10912876,200939,1.876
South Carolina,5118429,5282634,164205,3.208
Tennessee,6910786,7051339,140553,2.034
Utah,3271614,3380800,109186,3.337
Idaho,1839092,1939033,99941,5.434
Washington,7705247,7785786,80539,1.045
Nevada,3104624,3177772,73148,2.356
Colorado,5773733,5839926,66193,1.146
Oklahoma,3959346,4019800,60454,1.527
Virginia,8631384,8683619,52235,0.605
Alabama,5024356,5074296,49940,0.994
Indiana,6785668,6833037,47369,0.698
Montana,1084197,1122867,38670,3.567
Arkansas,3011555,3045637,34082,1.132
Delaware,989957,1018396,28439,2.873
South Dakota,886677,909824,23147,2.611
Missouri,6154920,6177957,23037,0.374
Maine,1362341,1385340,22999,1.688
Connecticut,3605942,3626205,20263,0.562
New Hampshire,1377518,1395231,17713,1.286
Minnesota,5706504,5717184,10680,0.187
Iowa,3190372,3200517,10145,0.318
Nebraska,1961489,1967923,6434,0.328
Kentucky,4505893,4512310,6417,0.142
Wyoming,576837,581381,4544,0.788
Vermont,643085,647064,3979,0.619
Oregon,4237291,4240137,2846,0.067
Alaska,733378,733583,205,0.028
North Dakota,779091,779261,170,0.022
Kansas,2937847,2937150,-697,-0.024
Wisconsin,5893725,5892539,-1186,-0.02
Rhode Island,1097371,1093734,-3637,-0.331
New Mexico,2117527,2113344,-4183,-0.198
Maryland,6177213,6164660,-12553,-0.203
Hawaii,1455273,1440196,-15077,-1.036
District of Columbia,689546,671803,-17743,-2.573
West Virginia,1793755,1775156,-18599,-1.037
Mississippi,2961288,2940057,-21231,-0.717
New Jersey,9289031,9261699,-27332,-0.294
Pennsylvania,13002689,12972008,-30681,-0.236
Michigan,10077325,10034113,-43212,-0.429
Ohio,11799374,11756058,-43316,-0.367
Massachusetts,7029949,6981974,-47975,-0.682
Louisiana,4657749,4590241,-67508,-1.449
Illinois,12812545,12582032,-230513,-1.799
California,39538245,39029342,-508903,-1.287
New York,20201230,19677151,-524079,-2.594
